Season,Week,Contestant,Rank_System_Place,Percent_System_Place,Diff
1,2,John O'Hurley,1.0,1.0,0.0
1,2,Kelly Monaco,4.0,5.0,-1.0
1,2,Evander Holyfield,4.0,2.0,2.0
1,2,Rachel Hunter,4.0,3.0,1.0
1,2,Joey McIntyre,2.0,4.0,-2.0
1,2,Trista Sutter,6.0,6.0,0.0
1,3,John O'Hurley,4.0,3.0,1.0
1,3,Kelly Monaco,2.5,2.0,0.5
1,3,Evander Holyfield,5.0,5.0,0.0
1,3,Rachel Hunter,1.0,1.0,0.0
1,3,Joey McIntyre,2.5,4.0,-1.5
1,4,John O'Hurley,2.5,3.0,-0.5
1,4,Kelly Monaco,1.0,2.0,-1.0
1,4,Rachel Hunter,4.0,4.0,0.0
1,4,Joey McIntyre,2.5,1.0,1.5
2,1,Tatum O'Neal,3.0,2.0,1.0
2,1,Tia Carrere,8.0,8.0,0.0
2,1,George Hamilton,4.5,6.0,-1.5
2,1,Lisa Rinna,4.5,5.0,-0.5
2,1,Stacy Keibler,2.0,3.0,-1.0
2,1,Jerry Rice,9.0,7.0,2.0
2,1,Giselle Fernandez,7.0,4.0,3.0
2,1,Master P,6.0,9.0,-3.0
2,1,Drew Lachey,1.0,1.0,0.0
2,1,Kenny Mayne,10.0,10.0,0.0
2,2,Tatum O'Neal,9.0,9.0,0.0
2,2,Tia Carrere,6.0,7.0,-1.0
2,2,George Hamilton,2.0,6.0,-4.0
2,2,Lisa Rinna,4.0,5.0,-1.0
2,2,Stacy Keibler,1.0,1.0,0.0
2,2,Jerry Rice,4.0,4.0,0.0
2,2,Giselle Fernandez,4.0,3.0,1.0
2,2,Master P,7.5,8.0,-0.5
2,2,Drew Lachey,7.5,2.0,5.5
2,3,Tia Carrere,5.5,3.0,2.5
2,3,George Hamilton,2.5,5.0,-2.5
2,3,Lisa Rinna,5.5,4.0,1.5
2,3,Stacy Keibler,1.0,1.0,0.0
2,3,Jerry Rice,5.5,6.0,-0.5
