Season,Week,Standard_Eliminated,Save_System_Eliminated,Is_Reversal
1,2,Kelly Monaco,Kelly Monaco,False
1,3,Evander Holyfield,Trista Sutter,True
2,1,Master P,Master P,False
2,2,Tatum O'Neal,Master P,True
2,4,Tatum O'Neal,Tatum O'Neal,False
2,5,Giselle Fernandez,Giselle Fernandez,False
3,1,Tucker Carlson,Tucker Carlson,False
3,2,Jerry Springer,Jerry Springer,False
3,3,Emmitt Smith,Emmitt Smith,False
3,4,Sara Evans,Sara Evans,False
3,5,Sara Evans,Sara Evans,False
4,2,Shandi Finnessey,Shandi Finnessey,False
4,3,Clyde Drexler,Clyde Drexler,False
4,4,Clyde Drexler,Clyde Drexler,False
4,5,Clyde Drexler,Shandi Finnessey,True
4,6,John Ratzenberger,John Ratzenberger,False
4,7,John Ratzenberger,Billy Ray Cyrus,True
4,8,Billy Ray Cyrus,Shandi Finnessey,True
5,1,Josie Maran,Josie Maran,False
5,2,Wayne Newton,Wayne Newton,False
5,3,Wayne Newton,Wayne Newton,False
5,4,Floyd Mayweather Jr. ,Mark Cuban,True
5,5,Mark Cuban,Mark Cuban,False
5,6,Jane Seymour,Jane Seymour,False
5,7,Jane Seymour,Jane Seymour,False
6,2,Monica Seles,Monica Seles,False
6,3,Marissa Jaret Winokur,Marissa Jaret Winokur,False
6,4,Monica Seles,Monica Seles,False
6,5,Priscilla Presley,Priscilla Presley,False
6,6,Marlee Matlin,Marlee Matlin,False
7,1,Cloris Leachman,Cloris Leachman,False
7,2,Cloris Leachman,Cloris Leachman,False
7,4,Rocco DiSpirito,Rocco DiSpirito,False
7,5,Cloris Leachman,Cloris Leachman,False
7,6,Cloris Leachman,Cloris Leachman,False
8,2,David Alan Grier,David Alan Grier,False
8,3,Steve Wozniak,Steve Wozniak,False
8,4,Steve Wozniak,Denise Richards,True
8,5,Steve-O,Steve-O,False
8,6,Steve-O,Steve-O,False
8,7,Lawrence Taylor,Lawrence Taylor,False
9,1,Ashley Hamiliton,Ashley Hamiliton,False
9,2,Kathy Ireland,Kathy Ireland,False
9,3,Michael Irvin,Michael Irvin,False
9,4,Chuck Liddell,Louie Vito,True
9,5,Michael Irvin,Michael Irvin,False
9,6,Melissa Joan Hart,Michael Irvin,True
10,2,Chad Ochocinco,Kate Gosselin,True
10,3,Buzz Aldrin,Buzz Aldrin,False
10,4,Aiden Turner,Kate Gosselin,True
10,5,Shannen Doherty,Shannen Doherty,False
10,6,Jake Pavelka,Jake Pavelka,False
10,7,Niecy Nash,Niecy Nash,False
11,1,David Hasselhoff,David Hasselhoff,False
11,2,Michael Bolton,Michael Bolton,False
11,3,Margaret Cho,Margaret Cho,False
11,4,David Hasselhoff,David Hasselhoff,False
11,5,Bristol Palin,Bristol Palin,False
11,6,Bristol Palin,Bristol Palin,False
12,2,Mike Catherwood,Mike Catherwood,False
12,3,Wendy Williams,Wendy Williams,False
12,4,Sugar Ray Leonard,Kendra Wilkinson,True
12,5,Petra Nemcova,Petra Nemcova,False
12,6,Chris Jericho,Chris Jericho,False
12,7,Kirstie Alley,Kirstie Alley,False
13,1,Metta World Peace (Ron),Metta World Peace (Ron),False
13,2,Chaz Bono,Chaz Bono,False
13,3,Chaz Bono,Chaz Bono,False
13,4,Carson Kressley,Carson Kressley,False
13,5,Carson Kressley,Carson Kressley,False
13,6,Chaz Bono,Chaz Bono,False
13,7,David Arquette,Chynna Phillips,True
14,2,Martina Navratilova,Martina Navratilova,False
14,3,Jack Wagner,Jack Wagner,False
14,4,Sherri Sheperd,Gladys Knight,True
14,5,Jack Wagner,Jack Wagner,False
14,6,Gladys Knight,Gladys Knight,False
14,7,Jaleel White,Melissa Gilbert,True
15,1,Pamela Anderson,Pamela Anderson,False
15,2,Bristol Palin,Bristol Palin,False
15,3,Bristol Palin,Bristol Palin,False
15,4,Kirstie Alley,Kirstie Alley,False
15,6,Emmitt Smith,Emmitt Smith,False
15,8,Shawn Johnson,Kirstie Alley,True
16,3,Wynonna Judd,Wynonna Judd,False
16,4,Lisa Vanderpump,Lisa Vanderpump,False
16,5,D. L. Hughley,Dorothy Hamill,True
16,6,Victor Ortiz,Victor Ortiz,False
16,7,Andy Dick,Andy Dick,False
16,8,Sean Lowe,Sean Lowe,False
17,2,Keyshawn Johnson,Bill Nye,True
17,3,Bill Nye,Bill Nye,False
17,4,Valerie Harper,Valerie Harper,False
17,5,Leah Remini,Leah Remini,False
17,7,Bill Engvall,Bill Engvall,False
17,8,Bill Engvall,Bill Engvall,False
18,2,Billy Dee Williams,Billy Dee Williams,False
18,5,Drew Carey,Drew Carey,False
18,6,Drew Carey,Drew Carey,False
18,7,NeNe Leakes,NeNe Leakes,False
19,1,Lolo Jones,Betsey Johnson,True
19,2,Michael Waltrip,Michael Waltrip,False
19,3,Randy Couture,Randy Couture,False
19,4,Jonathan Bennett,Jonathan Bennett,False
19,6,Antonio Sabato Jr.,Antonio Sabato Jr.,False
19,7,Antonio Sabato Jr.,Michael Waltrip,True
19,8,Michael Waltrip,Michael Waltrip,False
20,2,Charlotte McKinney,Charlotte McKinney,False
20,3,Charlotte McKinney,Charlotte McKinney,False
20,4,Chris Soules,Chris Soules,False
20,5,Robert Herjavec,Robert Herjavec,False
20,6,Robert Herjavec,Robert Herjavec,False
20,7,Robert Herjavec,Robert Herjavec,False
20,8,Robert Herjavec,Robert Herjavec,False
21,2,Gary Busey,Gary Busey,False
21,4,Chaka Khan,Chaka Khan,False
21,6,Gary Busey,Gary Busey,False
21,7,Alek Skarlatos,Alek Skarlatos,False
21,8,Andy Grammer,Andy Grammer,False
22,2,Geraldo Rivera,Geraldo Rivera,False
22,3,Mischa Barton,Mischa Barton,False
22,4,Doug Flutie,Doug Flutie,False
22,6,Doug Flutie,Doug Flutie,False
22,7,Jodie Sweetin,Jodie Sweetin,False
23,2,Jake T. Austin,Jake T. Austin,False
23,3,Rick Perry,Rick Perry,False
23,4,Babyface,Babyface,False
23,6,Amber Rose,Amber Rose,False
23,7,Marilu Henner,Marilu Henner,False
23,8,Marilu Henner,Marilu Henner,False
24,2,Chris Kattan,Chris Kattan,False
24,3,Charo,Charo,False
24,4,Mr. T,Mr. T,False
24,5,David Ross,David Ross,False
24,6,Nick Viall,Nick Viall,False
24,7,Bonner Bolton,Bonner Bolton,False
25,2,Barbara Corcoran,Barbara Corcoran,False
25,4,Derek Fisher,Nick Lachey,True
25,5,Nick Lachey,Nick Lachey,False
25,6,Nick Lachey,Nick Lachey,False
25,7,Nikki Bella,Nikki Bella,False
26,1,Jamie Anderson,Johnny Damon,True
26,2,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,False
26,3,Jennie Finch Daigle,Jennie Finch Daigle,False
27,1,Nikki Glaser,Nikki Glaser,False
27,2,Danelle Umstead,Joe Amabile,True
27,3,Joe Amabile,Joe Amabile,False
27,4,Joe Amabile,Joe Amabile,False
27,6,John Schneider,John Schneider,False
27,7,Joe Amabile,Joe Amabile,False
28,2,Lamar Odom,Lamar Odom,False
28,4,Ray Lewis,Ray Lewis,False
28,7,Ray Lewis,Ray Lewis,False
28,9,Karamo Brown,Karamo Brown,False
29,2,Charles Oakley,Charles Oakley,False
29,3,Charles Oakley,Charles Oakley,False
29,4,Carole Baskin,Carole Baskin,False
29,5,Carole Baskin,Carole Baskin,False
29,6,Carole Baskin,Carole Baskin,False
29,7,Jesse Metcalfe,Jesse Metcalfe,False
30,2,Martin Kove,Martin Kove,False
30,3,Martin Kove,Martin Kove,False
30,4,Christine Chiu,Christine Chiu,False
30,6,Christine Chiu,Christine Chiu,False
30,7,Kenya Moore,Kenya Moore,False
31,1,Jason Lewis,Vinny Guadagnino,True
31,2,Jason Lewis,Jason Lewis,False
31,3,Teresa Giudice,Teresa Giudice,False
31,4,Teresa Giudice,Teresa Giudice,False
31,5,Teresa Giudice,Teresa Giudice,False
32,1,Matt Walsh,Matt Walsh,False
32,2,Matt Walsh,Matt Walsh,False
32,3,Jamie Lynn Spears,Jamie Lynn Spears,False
32,5,Matt Walsh,Matt Walsh,False
33,2,Eric Roberts,Eric Roberts,False
33,3,Anna Delvey,Anna Delvey,False
33,4,Anna Delvey,Anna Delvey,False
34,2,Corey Feldman,Corey Feldman,False
34,3,Baron Davis,Baron Davis,False
34,6,Lauren Jauregui,Lauren Jauregui,False
