Season,Week,Fan_Influence_Rank,Fan_Influence_Percent,Difference
1,2,0.9276336570439175,0.942857142857143,0.015223485813225412
1,3,0.9856107606091623,0.942857142857143,-0.04275361775201936
2,1,0.996965091635306,0.9999999999999999,0.003034908364693889
2,2,0.9848069807617047,0.9272727272727272,-0.05753425348897745
2,4,0.9422535927041001,0.9636363636363635,0.021382770932263373
2,5,0.9141792475183746,0.7696969696969697,-0.144482277821405
3,1,1.0,1.0,0.0
3,2,0.8511627906976745,0.5813953488372093,-0.2697674418604652
3,3,0.7736623721738868,0.2558139534883721,-0.5178484186855147
3,4,0.6544639560997149,0.0410958904109589,-0.6133680656887559
3,5,0.510540041739772,0.12149532710280372,-0.3890447146369682
4,2,0.9348837209302328,0.7395348837209303,-0.1953488372093024
4,3,0.8393309505838704,0.5693779904306221,-0.2699529601532483
4,4,0.8532110091743119,0.6788990825688074,-0.17431192660550454
4,5,0.9860132971832694,1.0,0.013986702816730645
4,6,0.5207373271889401,0.10599078341013825,-0.4147465437788018
4,7,0.5199077489276577,0.16822429906542052,-0.35168344986223715
4,8,0.4121881591497028,0.11627906976744187,-0.2959090893822609
5,1,0.9999999999999999,0.9999999999999999,0.0
5,2,0.9057971014492754,0.6014492753623188,-0.30434782608695654
5,3,0.8653626414916029,0.657142857142857,-0.20821978434874588
5,4,0.6910432023164071,0.03649635036496351,-0.6545468519514437
5,5,0.5345454545454545,0.12,-0.41454545454545455
5,6,0.5648321520915256,0.17021276595744683,-0.39461938613407876
5,7,0.4699646643109541,0.16607773851590105,-0.30388692579505305
6,2,1.0,1.0,0.0
6,3,0.7437722419928826,0.2953736654804271,-0.4483985765124555
6,4,0.9785714285714286,1.0,0.021428571428571352
6,5,0.5328467153284672,0.12408759124087591,-0.40875912408759124
6,6,0.5345454545454545,0.19999999999999998,-0.3345454545454546
7,1,0.8741363824628063,0.6353591160220995,-0.23877726644070685
7,2,0.7262569832402235,0.329608938547486,-0.39664804469273746
7,4,0.6414565826330532,0.07563025210084034,-0.5658263305322129
7,5,0.4577259475218659,0.22448979591836735,-0.23323615160349856
7,6,0.46418023085142984,0.22727272727272724,-0.2369075035787026
8,2,0.9275766016713092,0.8440111420612814,-0.08356545961002781
8,3,0.8783294097505788,0.6323119777158774,-0.2460174320347014
8,4,0.9736561399958722,0.9558011049723757,-0.0178550350234965
8,5,0.5624803825832154,0.08474576271186442,-0.477734619871351
8,6,0.6241141030274302,0.06515580736543909,-0.5589582956619911
8,7,0.39941690962099125,0.25947521865889217,-0.13994169096209907
9,1,0.9970457902511078,0.9992611746313141,0.002215384380206298
9,2,0.8554216867469878,0.5692771084337349,-0.2861445783132529
9,3,0.9320531757754801,0.8227474150664698,-0.10930576070901032
9,4,0.6775344875737882,0.20852359208523594,-0.46901089548855224
9,5,0.5173558777450188,0.21804511278195488,-0.2993107649630639
9,6,0.501139068988458,0.2612612612612613,-0.23987780772719663
10,2,0.8792733518259361,0.6636363636363638,-0.21563698818957233
10,3,0.8037383177570092,0.5794392523364486,-0.22429906542056066
10,4,0.8246035061165515,0.5636363636363637,-0.2609671424801878
10,5,0.9724770642201837,1.0,0.02752293577981635
10,6,0.5740740740740741,0.11111111111111112,-0.46296296296296297
10,7,0.4965530362100469,0.14678899082568808,-0.34976404538435885
11,1,1.0,1.0,0.0
11,2,0.8736974514698442,0.6071428571428571,-0.26655459432698714
11,3,0.7528069127124429,0.2903225806451613,-0.4624843320672816
11,4,0.9893045053244827,1.0,0.010695494675517336
11,5,0.5272727272727272,0.12,-0.40727272727272723
11,6,0.39642792913093117,0.17437722419928828,-0.2220507049316429
12,2,1.0,1.0,0.0
12,3,0.9061032863849764,0.5774647887323944,-0.328638497652582
12,4,0.7179506684696446,0.2558139534883721,-0.4621367149812725
