Season,Week,Contestant,Est_Fan_Votes,Certainty,Judge Score,Official Result,Model,Score_Judge_Tanh,Score_Fan_Tanh,Final_Score,Final_Rank,Original_Rank
1,2,John O'Hurley,0.2208136431587289,0.2986231845258736,26.0,Safe,Improved,0.8647929652951842,0.7430756372100329,0.8039343012526086,1.0,1.0
1,2,Kelly Monaco,0.1587913495707852,0.485786438075954,17.0,Safe,Improved,-0.6120890650637527,-0.13834187981855683,-0.3752154724411548,5.0,5.5
1,2,Evander Holyfield,0.1870915857055171,0.4987884502352842,14.0,Safe,Improved,-0.8825142616769982,0.3461915827066696,-0.2681613394851643,4.0,4.0
1,2,Rachel Hunter,0.2034302732220392,0.3433826975618342,24.0,Safe,Improved,0.6973913170928786,0.5716540517254234,0.6345226844091509,2.0,2.0
1,2,Joey McIntyre,0.1691644656558336,0.5106272591723869,21.0,Safe,Improved,0.18527099197565655,0.04413211578181629,0.11470155387873643,3.0,3.0
1,2,Trista Sutter,0.0607086826870962,0.842019321367133,19.0,Eliminated,Improved,-0.2565481265557975,-0.9538946122335187,-0.6052213693946581,6.0,5.5
1,3,John O'Hurley,0.2036681015393761,0.3179759585700176,24.0,Safe,Improved,0.5722952151451738,0.5621540217106227,0.5672246184278982,2.0,2.0
1,3,Kelly Monaco,0.1667929669206778,0.3718017988934419,21.0,Safe,Improved,0.329791556068773,0.002170832393584444,0.1659811942311787,4.0,4.0
1,3,Evander Holyfield,0.0629165894861282,0.7874689258481582,13.0,Eliminated,Improved,-0.44594892054530755,-0.945043163263888,-0.6954960419045978,6.0,5.5
1,3,Rachel Hunter,0.2327197883301945,0.3797416269066924,26.0,Safe,Improved,0.6944426797501051,0.8128302388342491,0.7536364592921772,1.0,1.0
1,3,Joey McIntyre,0.1815878696392035,0.3452486790764044,22.0,Safe,Improved,0.4180879141463313,0.25098532826098435,0.3345366212036578,3.0,3.0
1,3,Trista Sutter,0.1523146840844199,0.4518987651990822,0.0,Safe,Improved,-0.9484129693835899,-0.2417956649342681,-0.595104317158929,5.0,5.5
2,1,Tatum O'Neal,0.1372147184404795,0.6250886673448992,23.0,Safe,Improved,0.6883135700900208,0.7697561626010699,0.7290348663455454,2.0,2.0
2,1,Tia Carrere,0.0961076822540122,0.6413513392080621,20.0,Safe,Improved,0.12009527645017816,-0.10625172431238529,0.006921776068896435,6.0,6.0
2,1,George Hamilton,0.0771220936045694,0.6790362291793259,18.0,Safe,Improved,-0.34700358032801293,-0.5559020360120821,-0.4514528081700475,8.0,8.0
2,1,Lisa Rinna,0.0829532697355735,0.6580066997083334,19.0,Safe,Improved,-0.12009527645017816,-0.43585431410430503,-0.2779747952772416,7.0,7.0
2,1,Stacy Keibler,0.1146904795551888,0.6409085527112247,22.0,Safe,Improved,0.5394563521054914,0.3821178057406462,0.4607870789230688,4.0,4.0
2,1,Jerry Rice,0.1076055517927774,0.5158475110798211,21.0,Safe,Improved,0.34700358032801293,0.20543594424459632,0.2762197622863046,5.0,5.0
2,1,Giselle Fernandez,0.1323530697982592,0.6460547707158374,23.0,Safe,Improved,0.6883135700900208,0.7096676161487055,0.6989905931193632,3.0,3.0
2,1,Master P,0.0724578151088321,0.7041877107366071,12.0,Safe,Improved,-0.94784866127852,-0.6379384626784877,-0.7928935619785038,9.0,9.5
2,1,Drew Lachey,0.1509176367023946,0.5536520039005882,24.0,Safe,Improved,0.7954500078240798,0.8843109809071107,0.8398804943655953,1.0,1.0
2,1,Kenny Mayne,0.0285776830079129,0.9063485745357092,13.0,Eliminated,Improved,-0.9168362806439165,-0.9608648060848395,-0.938850543364378,10.0,9.5
2,2,Tatum O'Neal,0.0261277300092306,0.9094824894702546,17.0,Eliminated,Improved,-0.3550004686428121,-0.9653631229216681,-0.6601817957822401,9.0,9.5
2,2,Tia Carrere,0.087357625222607,0.7006835055299452,22.0,Safe,Improved,0.24250679480373707,-0.33244287518112653,-0.04496804018869473,6.0,6.0
2,2,George Hamilton,0.1044647386363832,0.6379679336886612,22.0,Safe,Improved,0.24250679480373707,0.12143879696864221,0.18197279588618964,5.0,5.0
2,2,Lisa Rinna,0.0822819396371387,0.6911967890147389,20.0,Safe,Improved,0.0,-0.449691212405901,-0.2248456062029505,7.0,7.0
2,2,Stacy Keibler,0.1524184380236824,0.6288639724014646,29.0,Safe,Improved,0.8052824804672449,0.8922447519165898,0.8487636161919174,1.0,1.0
2,2,Jerry Rice,0.118340230028922,0.680705181745523,23.0,Safe,Improved,0.3550004686428121,0.46315448338565013,0.4090774760142311,4.0,4.0
2,2,Giselle Fernandez,0.1290610329565242,0.6483037012664229,24.0,Safe,Improved,0.45807443997544933,0.6608757588478845,0.559475099411667,3.0,3.0
2,2,Master P,0.076938298910259,0.6679125094813978,16.0,Safe,Improved,-0.45807443997544933,-0.5583128190493856,-0.5081936295124174,8.0,9.5
2,2,Drew Lachey,0.1376722692764662,0.647946416697039,27.0,Safe,Improved,0.6993491061796772,0.7738081174061896,0.7365786117929334,2.0,2.0
2,2,Kenny Mayne,0.0853376972987863,0.7042164521565379,0.0,Safe,Improved,-0.9859148874178714,-0.38062107573382353,-0.6832679815758474,10.0,8.0
2,4,Tatum O'Neal,0.087254771224881,0.6868554617021795,0.0,Safe,Improved,-0.8596943485201741,-0.3801039834097293,-0.6198991659649518,8.0,8.5
2,4,Tia Carrere,0.1202116615322689,0.6637982495261643,25.0,Safe,Improved,0.6365809524186374,0.5612225349784591,0.5989017436985482,4.0,4.0
2,4,George Hamilton,0.0911079078187115,0.7178555201855569,21.0,Safe,Improved,0.4013623446072658,-0.2721630581566691,0.06459964322529835,6.0,6.0
2,4,Lisa Rinna,0.1211667123873415,0.7143918003238341,26.0,Safe,Improved,0.6827178457026115,0.5814186825036419,0.6320682641031268,3.0,3.0
2,4,Stacy Keibler,0.122234544684595,0.7469907731162235,26.0,Safe,Improved,0.6827178457026115,0.6031804683224,0.6429491570125058,2.0,2.0
2,4,Jerry Rice,0.0983712261060299,0.7274207572854522,24.0,Safe,Improved,0.5853881958738986,-0.051096534439223955,0.26714583071733733,5.0,5.0
2,4,Giselle Fernandez,0.0837671875796812,0.7620607427349444,0.0,Safe,Improved,-0.8596943485201741,-0.4697006005010694,-0.6646974745106218,9.0,10.0
2,4,Master P,0.0292963560001809,0.922549803837426,8.0,Eliminated,Improved,-0.563473269937502,-0.976682662054917,-0.7700779659962096,10.0,8.5
2,4,Drew Lachey,0.1476478501448316,0.5947199027829486,28.0,Safe,Improved,0.7606489096858261,0.9044358145843989,0.8325423621351125,1.0,1.0
2,4,Kenny Mayne,0.0989417825214778,0.7635017757489889,0.0,Safe,Improved,-0.8596943485201741,-0.03321422978302625,-0.4464542891516002,7.0,7.0
2,5,Tatum O'Neal,0.0884377401366813,0.8399706420036972,0.0,Safe,Improved,-0.8163788564002584,-0.367927558043177,-0.5921532072217177,9.0,9.0
2,5,Tia Carrere,0.03119396409343,0.9406077831915952,22.0,Eliminated,Improved,0.4804784602982354,-0.9799856129350594,-0.249753576318412,6.0,8.0
2,5,George Hamilton,0.0987731914787353,0.7414666619139864,24.0,Safe,Improved,0.5885051304911361,-0.04093602518235219,0.27378455265439194,5.0,5.0
2,5,Lisa Rinna,0.1330848819953587,0.6905440108423424,25.0,Safe,Improved,0.6359006546518451,0.8021418330055957,0.7190212438287205,2.0,2.0
2,5,Stacy Keibler,0.1193379066708664,0.7846654120659577,30.0,Safe,Improved,0.8112538357870416,0.5687181589390452,0.6899859973630433,3.0,2.0
2,5,Jerry Rice,0.114109188043976,0.8056591698283208,23.0,Safe,Improved,0.5366873563728015,0.4390531429985712,0.4878702496856864,4.0,4.0
2,5,Giselle Fernandez,0.0771457470000052,0.842338162965553,0.0,Safe,Improved,-0.8163788564002584,-0.6428552087245003,-0.7296170325623794,10.0,10.0
2,5,Master P,0.0988219227112784,0.8277305648018369,0.0,Safe,Improved,-0.8163788564002584,-0.039311676689229316,-0.42784526654474386,8.0,7.0
2,5,Drew Lachey,0.1307094379057373,0.6958850889035636,27.0,Safe,Improved,0.7177704757731616,0.7720093708990331,0.7448899233360973,1.0,2.0
2,5,Kenny Mayne,0.1083860199639308,0.8271347032145574,0.0,Safe,Improved,-0.8163788564002584,0.2728868905307613,-0.27174598293474855,7.0,6.0
3,1,Harry Hamlin,0.0876929674099485,0.0,17.0,Safe,Improved,-0.49643211772060347,-0.49643211772060264,-0.49643211772060303,8.0,8.0
3,1,Vivica A. Fox,0.0947684391080617,1.1102230246251564e-14,22.0,Safe,Improved,0.5740028320565939,0.5740028320565913,0.5740028320565926,3.5,3.5
3,1,Monique Coleman,0.0905231560891938,0.0,19.0,Safe,Improved,-0.06525436855951303,-0.06525436855951061,-0.06525436855951182,6.0,6.0
3,1,Joey Lawrence,0.0933533447684391,1.1102230246251563e-16,21.0,Safe,Improved,0.3917501228659516,0.3917501228659548,0.39175012286595323,5.0,5.0
3,1,Mario Lopez,0.1004288164665523,0.0,26.0,Safe,Improved,0.9234400534522251,0.9234400534522254,0.9234400534522252,1.0,1.0
3,1,Emmitt Smith,0.097598627787307,0.0,24.0,Safe,Improved,0.8119362867909493,0.8119362867909492,0.8119362867909492,2.0,2.0
3,1,Shanna Moakler,0.0891080617495711,6.217248937900877e-15,18.0,Safe,Improved,-0.2958393785589035,-0.29583937855890946,-0.2958393785589065,7.0,7.0
3,1,Willa Ford,0.0947684391080617,5.218048215738236e-15,22.0,Safe,Improved,0.5740028320565939,0.5740028320565913,0.5740028320565926,3.5,3.5
3,1,Sara Evans,0.0848627787307032,4.218847493575595e-15,15.0,Safe,Improved,-0.7713989285927162,-0.7713989285927163,-0.7713989285927163,10.0,10.0
3,1,Jerry Springer,0.0862778730703258,6.106226635438361e-15,16.0,Safe,Improved,-0.6550917931906335,-0.6550917931906379,-0.6550917931906357,9.0,9.0
3,1,Tucker Carlson,0.0806174957118353,0.8748765008576328,12.0,Eliminated,Improved,-0.9405265947279524,-0.940526594727952,-0.9405265947279522,11.0,11.0
3,2,Harry Hamlin,0.0910276679815439,0.1222391304347834,21.0,Safe,Improved,0.012181301119497265,0.005240366981919298,0.008710834050708282,7.0,8.0
3,2,Vivica A. Fox,0.0949407114598048,0.1222391304347823,24.0,Safe,Improved,0.3920200965281135,0.17631231126083238,0.28416620389447295,3.5,3.5
3,2,Monique Coleman,0.0975494071119787,0.1222391304347825,26.0,Safe,Improved,0.5929390799283731,0.2853192577741451,0.4391291688512591,2.0,2.0
3,2,Joey Lawrence,0.1014624505902395,0.1222391304347825,29.0,Safe,Improved,0.7947475295652362,0.4352835193295308,0.6150155244473835,1.0,1.0
3,2,Mario Lopez,0.0910276679815439,0.1222391304347823,21.0,Safe,Improved,0.012181301119497265,0.005240366981919298,0.008710834050708282,7.0,8.0
3,2,Emmitt Smith,0.0949407114598048,0.1222391304347826,24.0,Safe,Improved,0.3920200965281135,0.17631231126083238,0.28416620389447295,3.5,3.5
3,2,Shanna Moakler,0.0301081027787045,0.9139249011857706,22.0,Eliminated,Improved,0.14515038737328684,-0.9907725751225137,-0.42281109387461346,11.0,10.0
3,2,Willa Ford,0.0936363636337178,0.1222391304347823,23.0,Safe,Improved,0.27307516884276284,0.11994925908791543,0.19651221396533913,5.0,5.0
3,2,Sara Evans,0.0910276679815439,0.1222391304347826,21.0,Safe,Improved,0.012181301119497265,0.005240366981919298,0.008710834050708282,7.0,8.0
3,2,Jerry Springer,0.08841897232937,0.1222391304347824,19.0,Safe,Improved,-0.25038167862664396,-0.10960660177545918,-0.17999414020105156,10.0,11.0
3,2,Tucker Carlson,0.125860276691748,0.1222391304347818,0.0,Safe,Improved,-0.9926584555054754,0.9128965242138068,-0.039880965645834265,9.0,6.0
3,3,Harry Hamlin,0.0033442541355585,0.9245529205094426,22.0,Eliminated,Improved,0.31916395301436407,-0.994535765081796,-0.33768590603371595,11.0,9.0
3,3,Vivica A. Fox,0.1027667984189723,0.2325840579710149,27.0,Safe,Improved,0.6912848929229962,0.37949900738971504,0.5353919501563557,1.5,1.5
3,3,Monique Coleman,0.1027667984189723,0.2325840579710142,27.0,Safe,Improved,0.6912848929229962,0.37949900738971504,0.5353919501563557,1.5,1.5
3,3,Joey Lawrence,0.0955204216073781,0.2325840579710143,22.0,Safe,Improved,0.31916395301436407,0.15411329340397215,0.23663862320916812,5.0,6.5
