Season,Week,Contestant,Est_Fan_Votes,Certainty,Judge Score,Official Result,Model,J_Norm,F_Norm,New_Score
1,2,John O'Hurley,0.2231750078890081,0.4267629256930005,26.0,Safe,Improved,1.0,1.0,1.0
1,2,Kelly Monaco,0.1595214887651732,0.4999331649147345,17.0,Safe,Improved,0.6538461538461539,0.7147820460457123,0.6843140999459331
1,2,Evander Holyfield,0.1858152039525613,0.4808356631757943,14.0,Safe,Improved,0.5384615384615384,0.8325986216385528,0.6855300800500457
1,2,Rachel Hunter,0.2019597372715451,0.3458543741760319,24.0,Safe,Improved,0.9230769230769231,0.9049388602328894,0.9140078916549063
1,2,Joey McIntyre,0.167719332105948,0.493226866825654,21.0,Safe,Improved,0.8076923076923077,0.7515148478872691,0.7796035777897884
1,2,Trista Sutter,0.0618092300157641,0.8115512473141016,19.0,Eliminated,Improved,0.7307692307692307,0.27695408460119225,0.5038616576852115
1,3,John O'Hurley,0.2063978396747707,0.2914238292665951,24.0,Safe,Improved,0.9230769230769231,0.8992482447857644,0.9111625839313438
1,3,Kelly Monaco,0.1610272481921607,0.4020483493101221,21.0,Safe,Improved,0.8076923076923077,0.7015745442280537,0.7546334259601807
1,3,Evander Holyfield,0.0621614514485278,0.7816615873029473,13.0,Eliminated,Improved,0.5,0.2708292693203851,0.38541463466019255
1,3,Rachel Hunter,0.229522649470328,0.3371183258673498,26.0,Safe,Improved,1.0,1.0,1.0
1,3,Joey McIntyre,0.1850090497436051,0.3817107608532449,22.0,Safe,Improved,0.8461538461538461,0.8060600998226213,0.8261069729882338
1,3,Trista Sutter,0.1558817614706074,0.4923376859644759,0.0,Safe,Improved,0.0,0.6791563352476868,0.3395781676238434
1,4,John O'Hurley,0.1507487130146615,0.7036423795718169,21.0,Safe,Improved,0.8076923076923077,0.6184285174513797,0.7130604125718437
1,4,Kelly Monaco,0.1491008496286396,0.4934667347523543,26.0,Safe,Improved,1.0,0.6116683555209703,0.8058341777604852
1,4,Evander Holyfield,0.2012627824151861,0.7713520171438557,0.0,Safe,Improved,0.0,0.8256564295514603,0.4128282147757302
1,4,Rachel Hunter,0.0625808055463577,0.9357578329008536,25.0,Eliminated,Improved,0.9615384615384616,0.2567302501029181,0.6091343558206899
1,4,Joey McIntyre,0.1925459154137862,0.7304225409896583,20.0,Safe,Improved,0.7692307692307693,0.7898965279994498,0.7795636486151095
1,4,Trista Sutter,0.2437609339813687,0.7466629055305019,0.0,Safe,Improved,0.0,1.0,0.5
2,1,Tatum O'Neal,0.1392232732939213,0.6709726474709728,23.0,Safe,Improved,0.9583333333333334,0.8899831783184721,0.9241582558259027
2,1,Tia Carrere,0.0940897477717267,0.6634840819098057,20.0,Safe,Improved,0.8333333333333334,0.601467633879578,0.7174004836064557
