Season,Week,Contestant,Est_Fan_Votes,Certainty,Judge Score,Official Result,Model,New_Score,Dynamic_Weight_J
1,2,John O'Hurley,0.2317642109433453,0.3560100453829973,26.0,Safe,Improved,1.0,0.3833333333333333
1,2,Kelly Monaco,0.1526569568552456,0.5417287370871868,17.0,Safe,Improved,0.6568230515208263,0.3833333333333333
1,2,Evander Holyfield,0.1790520151429851,0.5178315874462196,14.0,Safe,Improved,0.6828229384578965,0.3833333333333333
1,2,Rachel Hunter,0.1889733883495784,0.4940473409734505,24.0,Safe,Improved,0.8566571314682623,0.3833333333333333
1,2,Joey McIntyre,0.1884776700187043,0.4427639917606781,21.0,Safe,Improved,0.8111073795979327,0.3833333333333333
1,2,Trista Sutter,0.0590757586901414,0.8244263669748891,19.0,Eliminated,Improved,0.4373140408703732,0.3833333333333333
1,3,John O'Hurley,0.2061839831861496,0.3615524311289912,24.0,Safe,Improved,0.8975401536318908,0.425
1,3,Kelly Monaco,0.158826665743467,0.4393486694924673,21.0,Safe,Improved,0.7324574985360841,0.425
1,3,Evander Holyfield,0.0605169674650739,0.8047700585646325,13.0,Eliminated,Improved,0.3607905507585014,0.425
1,3,Rachel Hunter,0.2346559245645163,0.3610526440368486,26.0,Safe,Improved,1.0,0.425
1,3,Joey McIntyre,0.1802297936158629,0.427680354807607,22.0,Safe,Improved,0.8012497968785557,0.425
1,3,Trista Sutter,0.1595866654249304,0.4403074324075778,0.0,Safe,Improved,0.3910505681441077,0.425
1,4,John O'Hurley,0.1024973051301375,0.8948711370317515,21.0,Safe,Improved,0.5821785425129131,0.4666666666666667
1,4,Kelly Monaco,0.1835957322397751,0.5095515281564242,26.0,Safe,Improved,0.834325381725914,0.4666666666666667
1,4,Evander Holyfield,0.2279688316772551,0.4878841975446348,0.0,Safe,Improved,0.45651784333720696,0.4666666666666667
1,4,Rachel Hunter,0.066697138853635,0.8991887957522431,25.0,Eliminated,Improved,0.5822819704405796,0.4666666666666667
1,4,Joey McIntyre,0.1529132271081396,0.7468116061199326,20.0,Safe,Improved,0.6651899768881708,0.4666666666666667
1,4,Trista Sutter,0.2663277649910575,0.5278464578769295,0.0,Safe,Improved,0.5333333333333333,0.4666666666666667
2,1,Tatum O'Neal,0.1389476256936926,0.6062343674718447,23.0,Safe,Improved,0.9226216031688269,0.3416666666666667
2,1,Tia Carrere,0.0926795647524296,0.6698169109672152,20.0,Safe,Improved,0.6817210695357006,0.3416666666666667
2,1,George Hamilton,0.0751677631414255,0.6432873188420428,18.0,Safe,Improved,0.5782359243188362,0.3416666666666667
2,1,Lisa Rinna,0.0843726819513578,0.6545259576605866,19.0,Safe,Improved,0.6319018942873874,0.3416666666666667
2,1,Stacy Keibler,0.1197642181235212,0.6256541360306902,22.0,Safe,Improved,0.8262121379505144,0.3416666666666667
2,1,Jerry Rice,0.1090999363506712,0.673368044536907,21.0,Safe,Improved,0.7662948933278586,0.3416666666666667
2,1,Giselle Fernandez,0.1297377458962705,0.6141268647760566,23.0,Safe,Improved,0.8831704936039602,0.3416666666666667
2,1,Master P,0.0697025247260281,0.707032874717762,12.0,Safe,Improved,0.46940855911250867,0.3416666666666667
2,1,Drew Lachey,0.1536882215357456,0.5150591956881329,24.0,Safe,Improved,1.0,0.3416666666666667
2,1,Kenny Mayne,0.0268397178288574,0.8998491104682409,13.0,Eliminated,Improved,0.3000390935654613,0.3416666666666667
2,2,Tatum O'Neal,0.0279773036137698,0.914852261413066,17.0,Eliminated,Improved,0.3418264832580026,0.3833333333333333
2,2,Tia Carrere,0.09236760375913,0.6544183265535778,22.0,Safe,Improved,0.6774581822766476,0.3833333333333333
2,2,George Hamilton,0.1082446723322071,0.6234509905850933,22.0,Safe,Improved,0.7439200717973493,0.3833333333333333
2,2,Lisa Rinna,0.0835871879897312,0.7159725564865773,20.0,Safe,Improved,0.6142663145427274,0.3833333333333333
2,2,Stacy Keibler,0.1473153866675407,0.6579128754959602,29.0,Safe,Improved,1.0,0.3833333333333333
2,2,Jerry Rice,0.116072754067317,0.657684995200039,23.0,Safe,Improved,0.7899070496394889,0.3833333333333333
2,2,Giselle Fernandez,0.1261340684878943,0.6452636175001201,24.0,Safe,Improved,0.8452424070853569,0.3833333333333333
2,2,Master P,0.072487338376071,0.7426077686704108,16.0,Safe,Improved,0.5149284449365414,0.3833333333333333
2,2,Drew Lachey,0.1416174300495146,0.6209736517266122,27.0,Safe,Improved,0.9497113995554836,0.3833333333333333
2,2,Kenny Mayne,0.0841962546568239,0.7277668077802013,0.0,Safe,Improved,0.35244806995087374,0.3833333333333333
2,4,Tatum O'Neal,0.0810244973701119,0.7409455390379609,0.0,Safe,Improved,0.30500355008954927,0.4666666666666667
2,4,Tia Carrere,0.1146790061278311,0.6020547250787238,25.0,Safe,Improved,0.8483571445471512,0.4666666666666667
2,4,George Hamilton,0.0894876913845244,0.7046279845904811,21.0,Safe,Improved,0.6868618682930093,0.4666666666666667
2,4,Lisa Rinna,0.1301182352461986,0.6209465926639128,26.0,Safe,Improved,0.9231422796350126,0.4666666666666667
2,4,Stacy Keibler,0.1220406813562139,0.6462267976608771,26.0,Safe,Improved,0.8927356409954526,0.4666666666666667
2,4,Jerry Rice,0.1029423174970134,0.6969902714623047,24.0,Safe,Improved,0.7875096212891354,0.4666666666666667
2,4,Giselle Fernandez,0.0845068682890715,0.6871620819670261,0.0,Safe,Improved,0.318112369366262,0.4666666666666667
2,4,Master P,0.0293261614847937,0.9120691579504232,8.0,Eliminated,Improved,0.24372690137366948,0.4666666666666667
2,4,Drew Lachey,0.1416805320835521,0.6140619601501784,28.0,Safe,Improved,1.0,0.4666666666666667
2,4,Kenny Mayne,0.1041940091606886,0.764108577943513,0.0,Safe,Improved,0.3922214110987598,0.4666666666666667
2,5,Tatum O'Neal,0.0848505979697921,0.7999656125615493,0.0,Safe,Improved,0.2943945213917608,0.5083333333333333
2,5,Tia Carrere,0.0330433858508203,0.940062035567806,22.0,Eliminated,Improved,0.4874238969032875,0.5083333333333333
2,5,George Hamilton,0.109418057309686,0.795177372981823,24.0,Safe,Improved,0.7862995435589331,0.5083333333333333
2,5,Lisa Rinna,0.1105314142328364,0.7049362753996967,25.0,Safe,Improved,0.8071068503328305,0.5083333333333333
2,5,Stacy Keibler,0.1383211519415406,0.6746510639403975,30.0,Safe,Improved,0.9882473268526727,0.5083333333333333
2,5,Jerry Rice,0.0850564109171072,0.7646230083111868,23.0,Safe,Improved,0.6848308246643326,0.5083333333333333
2,5,Giselle Fernandez,0.093989490130128,0.6936183996024003,0.0,Safe,Improved,0.32610248630852945,0.5083333333333333
2,5,Master P,0.1001264077620509,0.8329187852773342,0.0,Safe,Improved,0.34739491054947347,0.5083333333333333
2,5,Drew Lachey,0.1417085157402276,0.7167929153607986,27.0,Safe,Improved,0.9491666666666667,0.5083333333333333
2,5,Kenny Mayne,0.1029545681458105,0.8307146824341867,0.0,Safe,Improved,0.35720739204656865,0.5083333333333333
3,1,Harry Hamlin,0.0876929674099485,0.0,17.0,Safe,Improved,0.7982444327662088,0.3416666666666667
3,1,Vivica A. Fox,0.0947684391080617,1.1102230246251564e-14,22.0,Safe,Improved,0.9103308590072037,0.3416666666666667
3,1,Monique Coleman,0.0905231560891938,0.0,19.0,Safe,Improved,0.843079003262607,0.3416666666666667
3,1,Joey Lawrence,0.0933533447684391,1.1102230246251563e-16,21.0,Safe,Improved,0.887913573759005,0.3416666666666667
