Season,Winner,Is_Judge_Pick,Is_Fan_Pick
1,Kelly Monaco,True,False
2,Stacy Keibler,True,True
3,Harry Hamlin,False,False
4,Apolo Anton Ohno,True,False
5,Mel B,True,False
6,Kristi Yamaguchi,True,False
7,Lance Bass,True,False
8,Melissa Rycroft,True,False
9,Joanna Krupa,True,False
10,Evan Lysacek,False,False
11,Brandy,True,False
12,Ralph Macchio,False,False
13,Ricki Lake,True,False
14,Maria Menounos,True,False
15,Melissa Rycroft,True,False
16,Zendaya,True,False
17,Corbin Bleu,False,False
18,Meryl Davis,True,False
19,Janel Parrish,True,False
20,Rumer Willis,True,False
21,Nick Carter,True,False
22,Nyle DiMarco,True,False
23,James Hinchcliffe,True,False
24,Normani,True,False
25,Frankie Muniz,True,False
26,Adam Rippon,True,False
27,Evanna Lynch,True,False
28,Ally Brooke,True,True
29,Nev Schulman,True,False
30,Olivia Jade,True,True
31,Charli D'Amelio,True,True
32,Xochitl Gomez,False,True
33,Danny Amendola,False,True
34,Jordan Chiles,False,True
