Season,Week,Contestant,Est_Fan_Votes,Certainty,Judge Score,Official Result,Model,J_ZScore,F_ZScore,New_Score,Dynamic_Weight_J,New_Rank,Original_Rank_Simulated
1,2,John O'Hurley,0.223386264147169,0.4304628509848668,26.0,Safe,Improved,1.3120490606272972,1.0213579175260301,1.1667034890766637,0.5,1.0,1.0
1,2,Kelly Monaco,0.1596593173333804,0.4684805002443333,17.0,Safe,Improved,-0.7122552043405331,-0.12618234332291992,-0.4192187738317265,0.5,4.0,5.5
1,2,Evander Holyfield,0.1871028182410484,0.5542908363032086,14.0,Safe,Improved,-1.3870232926631432,0.36799670909921345,-0.5095132917819649,0.5,5.0,4.0
1,2,Rachel Hunter,0.1998043882188591,0.3563019829684385,24.0,Safe,Improved,0.8622036684122237,0.5967156993266624,0.729459683869443,0.5,2.0,2.0
1,2,Joey McIntyre,0.1665206237850128,0.4270170364978306,21.0,Safe,Improved,0.18743558008961364,-0.0026298150921586273,0.09240288249872751,0.5,3.0,3.0
1,2,Trista Sutter,0.0635265882745298,0.8352050374399612,19.0,Eliminated,Improved,-0.2624098121254598,-1.8572581675368263,-1.059833989831143,0.5,6.0,5.5
1,3,John O'Hurley,0.2059677078950216,0.3162433782486141,24.0,Safe,Improved,0.6509292743361549,0.6821993042522065,0.6665642892941808,0.5,2.0,2.0
1,3,Kelly Monaco,0.1648633925982299,0.3985104602945938,21.0,Safe,Improved,0.3425943549137657,-0.03130177411116519,0.15564629040130026,0.5,4.0,4.0
1,3,Evander Holyfield,0.0613008224336987,0.7337783629905961,13.0,Eliminated,Improved,-0.4796320968792723,-1.82897204198795,-1.1543020694336112,0.5,6.0,5.5
1,3,Rachel Hunter,0.2248123864411722,0.3239233820469246,26.0,Safe,Improved,0.8564858872844144,1.0093109071825934,0.9328983972335039,0.5,1.0,1.0
1,3,Joey McIntyre,0.1875933339149712,0.4060622756340635,22.0,Safe,Improved,0.44537266138789544,0.36325138955379244,0.40431202547084394,0.5,3.0,3.0
1,3,Trista Sutter,0.1554623567169059,0.445521070042865,0.0,Safe,Improved,-1.815750081042959,-0.19448778488947843,-1.0051189329662187,0.5,5.0,5.5
2,1,Tatum O'Neal,0.135571090874321,0.6610082826340967,23.0,Safe,Improved,0.8447438860445862,0.9452030878178513,0.8949734869312187,0.5,2.0,2.0
2,1,Tia Carrere,0.0957083349339908,0.6453016724516009,20.0,Safe,Improved,0.12067769800636945,-0.11403909670929482,0.0033193006485373114,0.5,6.0,6.0
2,1,George Hamilton,0.0767849540628302,0.7152800368979322,18.0,Safe,Improved,-0.3620330940191084,-0.6168754616262487,-0.4894542778226786,0.5,8.0,8.0
2,1,Lisa Rinna,0.0816824349463571,0.665569457081268,19.0,Safe,Improved,-0.12067769800636945,-0.48673848972415,-0.3037080938652597,0.5,7.0,7.0
2,1,Stacy Keibler,0.1222712657512854,0.4650949402499208,22.0,Safe,Improved,0.6033884900318472,0.5917971206478715,0.5975928053398594,0.5,4.0,4.0
2,1,Jerry Rice,0.1083140205613607,0.6502196880746602,21.0,Safe,Improved,0.3620330940191084,0.22092203847626066,0.2914775662476845,0.5,5.0,5.0
2,1,Giselle Fernandez,0.1284328188625109,0.5921063151792885,23.0,Safe,Improved,0.8447438860445862,0.7555233062478847,0.8001335961462355,0.5,3.0,3.0
2,1,Master P,0.0695504066761349,0.6926326819583666,12.0,Safe,Improved,-1.8101654700955419,-0.8091134942755491,-1.3096394821855455,0.5,9.0,9.5
